Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,4905.920885,5046.906478,5630.743991,6104.821124,7100.85294,7984.865693,8333.969817,9097.012162,9354.06383,10201.47321,10175.19271,9853.270242,9991.115051,9555.644469,9816.115921,12175.86032,13826.25814,18749.77647,19851.55721,22179.94385,22871.5463,23129.12073,24499.14993,24223.51683,24444.9856,26202.63448,26525.71014,27374.56593,27088.21889,25106.33959,24819.00283,24499.03321,25926.43053,25023.33028,25846.8021,26904.54876,26745.59558,28368.90613,28200.15491,29667.73595,21910.30132,24896.44161,,,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.44928,400.8517775,635.8159194,803.0299599,1137.067909,1227.64648,1353.686773,1382.439501,1565.226348,1931.592694,2421.982085,2574.549429,2937.618754,3561.935727,4460.062159,4156.505046,3979.791313,4300.627304,3976.011135,4294.747845,4374.136837,3879.896309,4098.323025,4436.294092,5018.399176,5104.820147,5099.284971,6019.153696,,,
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418.268532,1366.905724,1255.836847,1161.489445,1228.203715,1174.451672,1284.186051,1021.484073,1077.723417,1057.56631,1261.966857,1558.584872,2024.722184,2676.137274,3274.491393,4001.68209,5353.01906,4480.508001,5017.310263,5460.295895,5735.83109,6490.271127,6842.255225,4824.419478,4055.47952,4690.779612,5139.384723,5563.113009,5200.944075,5812.021741,,,
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1257.137806,1209.756843,1055.134451,1091.180082,1185.713999,1135.524155,1246.918462,1483.459732,1656.950793,1863.894927,2751.722015,2926.556136,3314.498622,3508.796172,3542.181894,3673.886585,3718.810579,3685.257285,3727.274066,3767.306985,3731.063011,3716.464198,3835.018878,3849.334812,3923.968508,4027.62753,4130.160749,4166.88711,3983.438466,4069.969924,3910.153095,4048.758406,4209.029233,4499.948912,4666.687565,4961.389643,4904.168825,4791.120508,4682.794601,4827.922323,4225.900436,4880.641882,,,
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,467.9595777,529.2882007,588.8203632,646.6525405,615.6337959,820.0755962,759.5082731,725.6150804,818.457296,706.851422,509.7388307,551.636467,566.4476833,565.2215218,578.1834988,639.1658078,670.0248607,668.9868115,682.7578035,752.5781899,820.1958748,865.0935561,920.619925,861.8444712,834.4268399,806.6448154,767.4845299,755.4963911,782.371859,815.8392583,943.7014162,1073.294503,1381.635114,1453.72776,1582.732487,1845.87183,1972.184963,2202.047588,2386.034637,2532.414506,2618.281113,2764.057011,2907.081576,2940.944319,2652.860747,2656.573859,,,
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,396.6177039,452.1186666,526.2000589,689.5340757,889.9271775,1007.081124,1211.775648,1356.682948,1497.938808,1635.882427,1638.086387,1778.527981,1836.624679,1270.700455,1284.454943,1116.177881,1369.263366,1469.000743,1615.335453,2172.414331,2159.554126,1888.213248,1779.048595,1962.240246,2739.973075,4110.386446,4524.069094,4559.436206,4311.469212,2867.965365,3082.358375,2580.69995,2305.239756,2494.659058,2976.648295,3898.867573,4830.410553,6067.297819,7170.015988,6936.075263,8878.024676,10260.08084,9351.31113,9456.544249,9242.577872,6666.747079,6565.206981,7642.228743,6984.288498,6818.492046,5367.949034,5775.839583,,,
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,5364.873969,5876.583487,6256.10517,6985.151836,6898.128889,6941.315308,6756.666898,7073.668605,7346.554004,7416.735481,7876.217744,8357.531694,9459.008881,9826.677817,10176.20599,10099.03918,10165.3018,10378.57302,11080.61403,12129.94112,13035.79231,14675.71108,14762.86674,13917.3744,14253.34072,13877.00418,14143.53995,14314.01514,14329.17093,14307.73421,14571.04953,15021.33355,15277.06165,15878.52517,14376.07645,14760.30253,,,
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8377.002223,9057.526589,10614.38985,11380.53072,10830.96047,10656.48102,12023.66137,12342.98313,12249.84344,10078.98936,10667.72659,12227.59797,11969.64402,12463.58127,13345.76664,15506.38088,17689.05141,20105.55347,22117.33253,26276.58883,21015.53441,24906.51152,31018.03037,33074.54307,33009.28335,31081.4866,25218.02373,23292.71976,23827.933,23571.7042,23965.6857,22157.41968,22736.00679,,,
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,183.2246164,191.1913327,166.1731676,182.9380147,215.0777148,220.5147158,246.0552747,330.8311896,377.8757802,381.2218866,400.9376099,312.4686154,309.8009725,313.4779152,379.7922628,397.0689274,422.2003579,510.7041025,476.2583921,486.4467166,630.662966,675.7306982,738.8536813,827.0679343,918.7226013,1065.630572,1157.686131,1490.053117,1529.152594,1503.24734,1800.593586,2040.565998,2002.649333,1989.027209,2135.13951,2194.601147,2295.347808,2610.161909,2618.652833,2913.822943,2724.888887,2945.360817,,,
